name,slug,status,cnpj,notes
EGIS,egis,ativa,,"Importado da planilha legado ""CONTROLE DE PROPOSTAS.xlsx"" (aba ""EGIS"")."
LPC LATINA,lpc-latina,ativa,,"Importado da planilha legado ""CONTROLE DE PROPOSTAS.xlsx"" (aba ""LPC LATINA"")."
WORLEY,worley,ativa,,"Importado da planilha legado ""CONTROLE DE PROPOSTAS.xlsx"" (aba ""WORLEY"")."
CF SISTEMAS,cf-sistemas,ativa,,"Importado da planilha legado ""CONTROLE DE PROPOSTAS.xlsx"" (aba ""CF SISTEMAS"")."
CADBIM,cadbim,ativa,,"Importado da planilha legado ""CONTROLE DE PROPOSTAS.xlsx"" (aba ""CADBIM"")."
BELOV,belov,ativa,,"Importado da planilha legado ""CONTROLE DE PROPOSTAS.xlsx"" (aba ""BELOV"")."
HBO,hbo,ativa,,"Importado da planilha legado ""CONTROLE DE PROPOSTAS.xlsx"" (aba ""HBO"")."
IBR,ibr,ativa,,"Importado da planilha legado ""CONTROLE DE PROPOSTAS.xlsx"" (aba ""IBR"")."
JCC ENGENHARIA,jcc-engenharia,ativa,,"Importado da planilha legado ""CONTROLE DE PROPOSTAS.xlsx"" (aba ""JCC ENGENHARIA"")."
ENGIBRAS,engibras,ativa,,"Importado da planilha legado ""CONTROLE DE PROPOSTAS.xlsx"" (aba ""ENGIBRAS"")."
